,origin,destination,Origin_city,Destination_city,Fly_date,year,month,name_x,origin_latitude,origin_longitude,name_y,destination_latitude,destination_longitude
3512014,STL,ALO,"St. Louis, MO","Waterloo, IA",1991-08-01,1991,8,St Louis Lambert International Airport,38.748697,-90.370003,Waterloo Regional Airport,42.55709838867188,-92.40029907226562
1906999,BNA,AUS,"Nashville, TN","Austin, TX",2001-05-01,2001,5,Nashville International Airport,36.1245002746582,-86.6781997680664,Austin Bergstrom International Airport,30.197535,-97.662015
489942,LAX,HNL,"Los Angeles, CA","Honolulu, HI",1990-03-01,1990,3,Los Angeles / Tom Bradley International Airport,33.942501,-118.407997,Daniel K Inouye International Airport,21.32062,-157.924228
2229824,RDU,MCI,"Raleigh, NC","Kansas City, MO",2002-09-01,2002,9,Raleigh Durham International Airport,35.877602,-78.787498,Kansas City International Airport,39.2976,-94.713898
3295125,JAC,CPR,"Jackson, WY","Casper, WY",2004-06-01,2004,6,Jackson Hole Airport,43.6072998046875,-110.73799896240234,Casper-Natrona County International Airport,42.908001,-106.463997
1588590,CVG,CVG,"Cincinnati, OH","Cincinnati, OH",2002-12-01,2002,12,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801
198854,SAT,PIT,"San Antonio, TX","Pittsburgh, PA",1990-09-01,1990,9,San Antonio International Airport,29.533701,-98.469803,Pittsburgh International Airport,40.49150085,-80.23290253
642057,ORD,SNA,"Chicago, IL","Santa Ana, CA",1995-11-01,1995,11,Chicago O'Hare International Airport,41.9786,-87.9048,John Wayne Orange County International Airport,33.675701,-117.867996
2893206,IAH,ICT,"Houston, TX","Wichita, KS",2006-10-01,2006,10,George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438,Wichita Eisenhower National Airport,37.649899,-97.433098
1045300,ORD,GRR,"Chicago, IL","Grand Rapids, MI",2008-07-01,2008,7,Chicago O'Hare International Airport,41.9786,-87.9048,Gerald R. Ford International Airport,42.88079834,-85.52279663
722722,CMH,CLT,"Columbus, OH","Charlotte, NC",1998-02-01,1998,2,John Glenn Columbus International Airport,39.998001,-82.891899,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594
2889573,LAS,ICT,"Las Vegas, NV","Wichita, KS",1990-10-01,1990,10,Harry Reid International Airport,36.083361,-115.151817,Wichita Eisenhower National Airport,37.649899,-97.433098
758813,LAS,IAD,"Las Vegas, NV","Washington, DC",2008-06-01,2008,6,Harry Reid International Airport,36.083361,-115.151817,Washington Dulles International Airport,38.9445,-77.455803
1517797,MSP,PHX,"Minneapolis, MN","Phoenix, AZ",1992-06-01,1992,6,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.882,-93.221802,Phoenix Sky Harbor International Airport,33.435302,-112.005905
